,titleId,title,region,startYear,runtimeMinutes,genres,averageRating,directors,writers
1612,tt0012755,Through the Back Door,US,1921,89,"Comedy,Drama",6.8,"nm0337586,nm0681927","nm0240534,nm0265572"
1613,tt0012763,Tol'able David,US,1921,99,Drama,7.1,nm0454771,"nm0378947,nm0332539,nm0454771"
1614,tt0012769,Too Wise Wives,US,1921,80,Drama,5.8,nm0916665,"nm0916665,nm0651000"
1615,tt0012769,Married Strangers,US,1921,80,Drama,5.8,nm0916665,"nm0916665,nm0651000"
1616,tt0012771,Torgus,US,1921,64,"Drama,History",5.9,nm0462098,nm0562346
1617,tt0012772,The Torrent,US,1921,50,Adventure,1.6,nm0665737,"nm0166777,nm0403527,nm0729733"
1618,tt0012775,Trailin',US,1921,58,"Drama,Mystery",5.7,nm0721840,"nm0062738,nm0721840"
1619,tt0012788,Uncharted Seas,US,1921,0,Romance,6.6,nm0749484,"nm0421031,nm0933640"
1620,tt0012788,Uncharted Sea,US,1921,0,Romance,6.6,nm0749484,"nm0421031,nm0933640"
1621,tt0012790,Under the Lash,US,1921,60,Drama,6.2,nm0939992,"nm0039418,nm0039422,nm0461241,nm0621733"
1622,tt0012806,Four Around the Woman,US,1921,52,Drama,5.9,nm0000485,"nm0000485,nm0889172,nm0902376"
1623,tt0012814,Voices of the City,US,1921,60,"Crime,Drama",5.8,nm0941637,"nm0779480,nm0823837"
1624,tt0012814,Flower of Darkness,US,1921,60,"Crime,Drama",5.8,nm0941637,"nm0779480,nm0823837"
1625,tt0012814,The Night Rose,US,1921,60,"Crime,Drama",5.8,nm0941637,"nm0779480,nm0823837"
1626,tt0012818,The Wallop,US,1921,50,Western,4.3,nm0000406,"nm0401429,nm0722425"
1627,tt0012818,The Homeward Trail,US,1921,50,Western,4.3,nm0000406,"nm0401429,nm0722425"
1628,tt0012827,What Do Men Want?,US,1921,70,Drama,6.2,nm0916665,nm0916665
1629,tt0012830,What No Man Knows,US,1921,0,Drama,6.2,nm0308593,nm0184632
1630,tt0012836,Where Lights Are Low,US,1921,60,Drama,6.2,nm0132324,nm0192325
1631,tt0012838,Whispering Shadows,US,1921,0,Drama,5.4,nm0154352,nm0352506
1632,tt0012839,The Whistle,US,1921,70,"Drama,Romance",6.2,nm0385171,"nm0932863,nm0528161,nm0385171"
1633,tt0012843,White Oak,US,1921,64,Western,6.0,nm0385171,"nm0366586,nm0615912"
1634,tt0012855,The Witching Hour,US,1921,70,"Drama,Mystery",7.1,nm0853336,"nm0412257,nm0858501"
1635,tt0012856,Without Benefit of Clergy,US,1921,60,Drama,5.2,nm0949648,"nm0456017,nm0507641"
1636,tt0012862,Woman's Place,US,1921,60,"Comedy,Romance",5.1,nm0281808,"nm0256221,nm0002616"
1637,tt0012864,The Wonderful Thing,US,1921,84,Drama,5.4,nm0107543,"nm0073238,nm0103322,nm0107543"
